Coh_Familiarity;ProgExp;ProgExpCompColleagues;Exp_OOP;Years_Prog;Years_ProgLargeProj
1;4;3;3;1;1
2;4;4;4;3;1
1;8;5;5;4;2
1;7;3;3;4;2
1;6;2;3;4;2
1;6;3;3;4;4
1;8;3;5;5;4
1;8;4;4;5;3
1;8;2;3;5;3
1;9;4;5;5;4
1;7;3;3;5;3
1;7;3;5;5;2
2;8;4;4;5;3
1;9;4;5;5;5
1;6;3;3;5;3
1;6;3;4;5;0
1;3;2;3;5;0
1;7;3;4;5;3
1;7;3;4;5;3
1;8;4;5;5;1
1;7;3;4;5;1.5
1;8;4;3;6;4
2;9;4;4;6;4
1;9;3;5;6;6
1;7;4;4;6;2
1;5;3;3;6;1
1;8;4;4;6;3
1;6;3;4;6;0
2;7;4;4;7;6
1;9;5;5;7;6
2;7;3;4;7;6
1;4;2;3;7;0
2;8;4;4;7;4
1;8;4;5;7;2
1;8;4;5;8;2
2;4;3;3;8;0
1;8;4;4;8;7
1;8;4;4;8;5
1;7;4;4;8;0
1;9;4;4;8;6
1;8;4;4;8;6
1;8;4;5;8;4
1;7;3;4;9;1
1;7;4;4;9;2
1;8;4;5;9;2
1;9;4;3;10;7
1;10;5;5;10;10
1;8;3;4;10;5
1;9;4;4;10;7
1;9;4;4;10;6
1;7;4;4;10;7
1;7;3;4;10;0
1;8;4;4;10;4
1;9;4;5;11;7
1;8;4;4;11;3
1;9;4;4;11;6
2;9;4;3;11;7
1;9;5;5;12;4
1;9;4;4;12;5
1;9;4;4;12;3
1;8;4;5;13;4
1;9;5;5;13;11
1;9;4;4;13;10
1;8;4;5;14;6
1;10;5;5;14;7
1;8;4;3;15;0
1;8;4;4;15;8
1;8;4;4;15;15
1;10;5;5;15;5
1;6;3;4;15;3
1;8;4;4;15;15
1;8;4;4;15;0
2;6;2;3;16;0
1;8;5;5;18;10
1;8;4;4;20;8
1;9;4;4;20;13
1;5;3;4;22;0
1;5;3;4;24;3
1;9;5;5;25;12
1;8;3;3;29;5
