Rater1 Rater2 Rater3 Rater4 Rater5 Rater6 Rater7 Rater8 Rater9 Rater10 Rater11 Rater12 Rater13 Rater14 Rater15 Rater16 Rater17 Rater18 Rater19 Rater20 Rater21 Rater22 Rater23 Rater24 Rater25 Rater26 Rater27 Rater28 Rater29 Rater30 Rater31 Rater32 Rater33 Rater34 Rater35 Rater36 Rater37 Rater38 Rater39 Rater40 Rater41 Rater42 Rater43
> < < < = < < < < < < < < = < < < < < = > > = = < < < = < = < < < < < < < > < = < < <
< > > > > > > > > > > > > > > > < > > = < < > > > > > > > > > > > > > > > > > < > > <
< < < < < < < < < < < < < = < < = < < = > < < < < < < < < < < < < < < < < < < > < < <
> > > > > > > < > > = > > > > > = > > = = > = > > > > > > = > > > > > > > > < = > > <
= > > > > > > = > > > < < > > > < > > = = < > > > > > > > > > = = > > > > > > < > > <
> > > > > = > < > > > < < = > > < > > = = > > > > > > > > > > = = > > > > > > < = > <
< < = < < = = > = = > > < < < < > < < = < < = < > < < < > = < = < < < < = < > = > = <
> < = = = < = < > > < > = < = < > < > = = > < > > = > = > = < = = = < < < < > > < = <
< > > > = > > > > > > > < > > > < > > = < < > < > = < > > > > = < < > > > > > < > > <
> > > > = = > > > > > > < < > < = > > = < < > > > = = > > > > = < < > = > = > < > > <
