"comp1","comp1_expl","comp2","comp2_expl","comp3","comp3_expl","AcademicDegree","ProgExp","ProgExpCompColleagues","Exp_OOP","Years_Prog","Years_ProgLargeProj","coh_Familiarity"
"1","Na primeira classe estão todas as funções necessárias para a conexão com o banco de dados, abertura e fechamento.    Já no segundo código, além da inserção, ela também realiza operações de update. O ideal seria ter duas classes separadas.","1","No primeiro código é possível carregar e salvar as configurações e a classe está limitada a isso.    Já o segundo código possui diversas funções de diferente contextos como por exemplo, identificar o próximo ID disponível na tabela, deletar uma informação, preencher um combo box, etc.","3","Neste caso as duas classes são classes filhas da superclasse Relationship.  Na primeira estão todas as funções para o relacionamento de marido e esposa.  Na segunda estão todas as funções para o relacionamento de pais e filhos.","4","8","4","5","13","4","1"
"1","A classe DB_Backend faz a conexão com o banco de dados.  A classe DB_InsertUpdate de cara já tem duas responsabilidades (inserir e atualizar)","2","Ainda sim, não acho que a classe DB_Helpers possui coesão suficiente.  Em alguns métodos usa String pra referenciar a tabela e em outros métodos utiliza um DefaultModel.    A classe Main_Config2 está longe de ser uma classe com coesão. Possui informações do hotel e ainda faz o controle das reservas de forma procedural.","2","A classe RelationSpouse contém um método printToFile que não tem nada a ver com o propósito da sua própria classe.","2","8","3","5","5","4","1"
"1","DB_Backend não faz referência para DB_InsertUpdate, enquanto o inverso é verdadeiro. DB_InsertUpdate depende de DB_Backend para implementar suas funcionalidades   Exemplo de dependência em DB_InsertUpdate: DB_Backend.getConnection().createStatement();","1","Main_Config2 apresenta um menor número de funcionalidades e dependências em relação à DB_Helpers.","3","As classes possuem funcionalidades e dependências similares.","5","8","4","5","8","2","1"
"3","Creio que as duas sejam bem específicas para as funções que realizam.","1","Eu achei a primeira mais coesa uma vez que faz a tarefa específica de configuração. A segunda tb é específica de banco, mas realiza operações de consulta e deleção. Creio que poderia ser mais coesa.","1","Tem um método na RelationSpouse (printToFile) que poderia ser extraído para uma classe específica pra ficar mais coesa","3","8","4","3","6","4","1"
"3","Para mim possuem o mesmo nível de coesão pois cada uma tem um único objetivo e seria complicado separar os métodos de cada classe.","1","Porquê a classe Main_Config2 é mais específica... A segunda classe pode ser dividida em mais de uma para que fique bem específica, da maneira atual tem métodos de objetivos diferentes.","3","São bem objetivas e tem um comportamento específico.","3","9","4","4","6","4","2"
"3","Acredito que apesar da segunda classe implementar dois comportamentos (Incluir e Atualizar) esses comportamentos ao meu ver pertencem a um unico modulo.","1","A classe DB_Helpers implementa muitos comportamentos que podem ser entendidos como modulos separados","2","O comportamento print to file poderia ser facilmente implementado em um Visitor especifico para impressão em arquivo.","2","8","5","5","4","2","1"
"1","A segunda classe que seria utilizada apenas para realizar insert e update também é utilizada para concatenar os valores do array em uma string. A primeira classe na minha análise (não conheço mysql) é utilizada para gerenciamento da conexão (abrir, fechar, verificar se está aberta a conexão, etc).","3","A primeira classe apenas realiza a leitura do arquivo e possui os métodos de get e set nas propriedades de configuração do sistema, enquanto a classe 2 possui apenas métodos genericos relacionados a banco de dados.","3","As classes foram construidas com o mesmo nível de coesão, pois todas as verificações relacionadas a pessoa são realizadas na classe especifica (Person)","2","8","4","4","5","3","1"
"1","Embora o nome da classe DB_InsertUpdate indique uma composição de 2 operações (insert e update), e portanto, o que deve estar dentro dela é justamente operações para inserção e atualização, a coesão funcional parece negligenciada, pois inserção e atualização são 2 tarefas que endereçam problemas distintos.  Eu diria que há uma coesão comunicacional, onde os dados de entrada/saída são compatíveis (os mesmos).","3","se considerarmos um contexto mais abrangente (funçòes diversas de gerenciamento de dados no banco) temos algum grau de coesão, embora não haja coesão funcional. ambas as classes se enquadram neste contexto mais abrangente.","2","Embora a impressão no arquivo para a classe RelationSpouse se refira aos seus dados, este método de impressão poderia ser delegado para outra classe (específica para impressão).","4","5","3","4","22","0","1"
"3","Classes com funções bem definidas.","1","A segunda classe possui mais funções.","3","Classes com objetivos bem definidos.","2","8","2","3","5","3","1"
"1","Resposta curta e mais correta: feeling.  Resposta longa e menos correta:  A primeira classe tem uma responsabilidade bem definida, que é gerenciar conexões com o BD, e não precisa de informações das classes que farão uso dela.  Já a segunda classe possui uma responsabilidade difícil de definir e faz suposições frágeis a respeito dos módulos que farão uso dela, como o modelo do BD.","1","Novamente, esses helpers são difíceis de definir sua funcionalidade e fazem suposições a respeito dos módulos que fazem uso da mesma (formato da query, modelo do banco, etc.). Sem falar que realiza coisas que não são de sua responsabilidade, como tratar exceção do banco, se é uma classe ""helper"" ela não tem informações suficientes pra entender o que aconteceu... por exemplo, quem disse que o erro deve gerar uma mensagem e não é um erro ""esperado""?","1","Não me parece apropriado colocar a responsabilidade de gravar em disco na classe RelationSpouse. Nesse caso ela possui mais de uma responsabilidade e por isso é menos coesa.","4","9","4","3","10","7","1"
"1","The query builder should be in a different module/class and not inside the DB_InsertUpdate class.","3","Both classes lack cohesion. DB_Helpers is both specific and generic. Having the  method getNextID which is generic while is specific to query specific tables in DB. It should be separated.     The Main_Config should not load and store the infos form config file. It should be done by 2 different classes. One to store info and a second one to load it from the config file.","2","RelationSpouse was suppose to be a relation only class but it includes a JPanel reference. Not cohesive at all.","2","9","4","5","5","4","1"
"1","Apesar dos nomes das classes não serem muito adequados, a classe DB_Backend tem uma única responsabilidade. A de manter um pool de conexões (erroneamente implementado, mas...).     Já a classe DB_InsertUpdate em a responsabilidade de inserir e alterar toda e qualquer tabela no banco.. o que me parece uma responsabilidade muito ampla..     Caso você considere a responsabilidade da segunda seja exatamente esta. Alterar todas as tabelas do banco.. poderia-se pensar que ela é coesa.. Mas isto varia de pessoa para pessoa","1","Nem olhei direito a segunda, mas ela tem misturado componentes gráficos e acesso a banco de dados. Isto é, tem que se preocupar com muita coisa.. cria uma acoplamento que não deveria existir.","3","Na minha opinião nenhuma é coesa, num ponto de vista de design. Isto é, a classe Pessoal deveria mantar estes relacionamentos.      Além disto, mesmo motivo da questão anterior.. a primeira classe se preocupa com a responsabilidade dela e mostrar coisas na tela..","4","9","5","5","13","11","1"
"1","DB_Backend seems to be more cohesive. It has some shared data(attributes) compared to DB_InsertUpdate. There are no attributes at all and all methods are static and work independently.  Offtopic: I am not quite sure, but it seems to me that DB_InsertUpdate might be vulnerable against sql-injection.","1","Maybe I am doing something wrong. But it seems to me like the previous case. Cohesion in MainConfig2 due to presence of shared attributes and all methods in DB_Helpers are static.","2","My decision is influenced by the method printToFile in RelationSpouse. I don't think this class should be responsible for writing data.","4","9","5","5","12","4","1"
"1","A classe DB_Backend realiza operações apenas de comunicação com o banco de dados. Já a classe DB_InsertUpdate realiza duas operações, inserir e atualizar. Para a segunda classe ser mais coesa, ela teria que ser dividida em duas: DB_Insert e DB_Update","3","Ambas possuem baixo nível de coesão. Para obter uma maior coesão, a primeira Main_Config2 deveria ser dividida em duas classes uma para os gets e outra para o sets.  A segunda, DB_Helpers possue diversas funcionalidades que deveriam ser distribuídas em mais classes. Por exemplo, ""Returns the number of rooms in the database"" deveria estar em uma classe separada. O mesmo para ""Returns the number rooms in use at the specified date d"" e outros métodos.","2","A classe RelationSpouse possui baixa coesão e deve ser divida em mais classes, como por exemplo o método ""printToFile"" deveria estar em outra classe.","4","7","3","3","5","3","1"
"2","A segunda classe tem métodos mais claros, legíveis e tem uma complexidade muito menor. No caso da primeira classe é possível subdividir os métodos tornando mais coesa a classe.","3","As classes tem propósitos diferentes o que a meu faz com que a comparação entre elas não seja direta, mas as duas parecem semelhantes respeitando seus objetivos.","3","Para mim as classes são tem objetivos similares, ambas implementações são parecidas. Isso faz com que a coesão seja parecidas também.","2","7","3","5","5","2","1"
"1","Na primeira classe os métodos utilizam atributos internos.  Isto não ocorre na segunda classe, que facilmente poderia ser decomposta em mais partes.","1","A primeira classe contém vários métodos que ocupam diversos atributos e outros métodos da própria classe. No caso da segunda classe, isto não ocorre e esta poderia ser decomposta em mais classes.","2","As duas classes são muito semelhantes, usando atributos e métodos internos.   No entanto a classe RelationSpouse contém um método (ou um comportamento) que poderia, talvez, ser separado desta classe (método printToFile).   A classe RelationParentChild não inclui este comportamento de imprimir para um arquivo.","2","4","3","3","8","0","2"
"3","Verifiquei que as responsabilidades das duas classes estão bem definidas e nas mesmas possuem rotinas que apenas atendem ao que define a responsabilidade de cada uma.","2","A primeira classe possui rotinas que não são exclusivamente ligadas a carregar configurações de um arquivo. A classe acabou absorvendo informações de acesso ao banco de dados.","2","A primeira classe além de representar o relacionamento entre marido e mulher possui métodos que não estão ligados a esta atividade, por exemplo, o método printToFile.","3","9","3","5","6","6","1"
"1","A classe DB_Backend possui apenas a responsabilidade de abrir e fechar conexões. A segunda, apesar de genérica, está concentrando duas funcionalidade que não tem nada em comum: inserir e atualizar registros.","1","A classe DB_Helpers foi alimentada com a velha preguiça de fazer um modelo legal para resolver o problema. Pode ter ate começado com boas intenções (talvez métodos como getNextID) mas depois começou a adicionar diversas funcionalidades que poderiam estar mais bem separadas (exemplo:  getNumberOfRooms) Cade a classe Hotel por exemplo? Que teria o numero de  quartos disponiveis em vez de colocar em um Helper.","3","Ambas cuidam de relacionamento entre duas entidades e cada uma com seus próprios critérios.","1","10","5","5","10","10","1"
"3","A primeira classe trata do gerenciamento das conexões. E a segunda da inserçaõ e atualziação dos dados utilizando a primeira classe.","1","A primeira tem uma responsabilidade mais definida. Asegunda é muito genérica e trata de muitas responsabilidades.","2","A segunda é mais coesa, proque a prmeira trata da impressão em arquivo que não deveria ser de sua responsabilidade.","4","8","3","3","29","5","1"
"1","A classe de backend não precisa de outras classes para gerenciar a conexão com banco. Já a classe InsertUpdate sempre precisará da classe Backend para inserir e atualizar dados no banco de dados. Logo existem funcionalidades de InsertUpdate que não estão contidas na mesma, ao contrário da classe de Backend. Por isso, a segunda é mais coesa.","1","Estou considerando que a classe de Helpers possui métodos variados, que não correspondem à uma funcionalidade coesa, e sim várias funcionalidades diferentes. Já MainConfig possui a funcionalidade de gerenciar arquivos de configuração, sendo na minha opinião, mais coesa.","3","Elas possuem métodos similares/equivalentes, que gerenciam um determinado relacionamento entre parentes de uma árvore genealógica.","4","7","4","4","6","2","1"
"3","Usei a definição de Steven et al., 1974: ""em um módulo altamente coeso, todos os seus elementos estão relacionados para a realização de um único comportamento do software."" Em minha opinião as duas classes tem alta coesão.","3","Ambas são classes utilitárias, com variedade de métodos para servir outras classes.","3","As duas classes tem a mesma lógica e implementa suas soluções da mesma maneira.","4","8","3","4","10","5","1"
"3","As duas estão designadas para mapear a mesma funcionalidade: persistência de dados","1","A primeira classe só executa funções ligadas a ler e carregar um arquivo de configuração, porém a segunda realiza diversas funções diferentes, apesar de serem com o mesmo fim, mas que vão de encontro ao de que uma boa coesão se dá quando é assumida somente uma responsabilidade","2","a primeira classe assumiu mais responsabilidades, como imprimir e tratar erros, além de apresentar a relação entre marido e mulher, por isso acredito que ela é menos coesa","2","7","3","3","4","2","1"
"3","O meu raciocínio foi que as duas classes tem a mesma quantidade de responsabilidades, a classe DB_Backend gerencia conexões com o banco de dados, conectando e desconectando com o BD, enquanto a classe DB_InsertUpdade grava dados no banco de dados, inserindo ou atualizando informações.","1","A classe Main_Config2 tem o papel bem definido de gerenciar as propriedades de configuração do sistema. Já a classe DB_Helpers, apesar de ter diversos métodos relacionados ao banco de dados, são métodos que não tem o mesmo sentido, por isto esta classe não tem uma função bem definida no sistema, o que a torna uma classe com baixa coesão.","2","A primeira classe além de representar o relacionamento entre marido e mulher também mostra os relacionamentos em uma interface gráfica, enquanto a segunda classe apenas representa o relacionamento entre pais e filhos.","2","5","3","3","6","1","1"
"3","a classe DB_Backend, é implementado apenas o que é destinado a classe, e a classe InsertUpdate recorre a classe DB_Backend para obter conexao para realizar suas operações, não implementando a conexao ao banco que seria necessaria em sua própria classe.","2","a classe DB Helpers faz apenas o que se propões que é métodos para acesso a banco de dados mantendo sua coesao, a classa Main_Config2, além de obter dados de configuração do sistema, busca informações que nao tem essa finalidade, tais como: endereco do hotel,fax, telefone etc.","3","as duas classes trata apenas do que se propõe.","2","8","4","4","8","7","1"
"3","As duas classes possui a sua função específica e executa o que foi determinado.","1","A segunda classe é responsável por diversos métodos com diferentes funções, assim a classe perde a coesão.","3","Cada uma classe executa métodos específicos.","3","4","3","3","1","1","1"
"1","If you analyse it carefully, and with some metrics, you could say that the Backend is more cohesive than InsertUpdate, as the second can be split into Insert and Update.  However, this is not a problem if the sw is like this. There is a reason why INsert and Update were put together and it does not affect the maintenance of the sw in a negative way.","2","MainConfig2 is grouping the application proprieties, while DB_Helpers is mixing database operations with interface.","2","RelationSpouse mixes domain concepts with printing it to a file.","2","9","4","5","11","7","1"
"1","A primeira classe é responsável por uma unica tarefa, que é a conexão.","1","A primeira esta bem definido a sua função de carregar as configurações, enquanto a segunda deixa ""aberto"" que possui diversas finalidades, podendo realizar diversas tarefas distintas.","3","Ambas fazem a mesma tarefa que é de verificar o relacionamento entre duas pessoas.","2","8","4","4","5","3","2"
"2","A classe DB_Backend possui muitos métodos publicos que expôem seu funcionamento interno. Já a classe DB_InsertUpdate somente possui em sua interface os métodos especificos para o uso da mesma, e executa somente as tarefas que seu nome sugere.","1","A classe DB_Helpers mistura conceitos, possui métodos que são especificos para a entidade ""Room"" quando deveria possuir somente métodos genericos para ajudar nas operações com banco de dados. Isso pode se tornar um problema na manutenção se existe alguma outra classe que se encarrega de salvar, alterar e apagar dados com relação a entidade ""Room"".  Já a classe Main_Config2 de fato se encarrega somente em carregar e prover acesso as configurações gerais do software.","2","A classe RelationSpouse possui método para a serialização em arquivo. Isso deve ser evitado pois a serialização deve ser algo ortogonal a classe que representa uma entidade, e independente de método (arquivo, banco, stream).  Já a classe RelationParentChild se resume somente a representar esses dados e ter metódos para comparação (se é igual etc.) e manuseamento da entidade, o que é bastante consistente.","2","9","4","4","10","7","1"
"3","Levei em consideração o domínio que foi atribuído a cada classe e quais as ações que cada uma delas executava em seu código, assim avaliei se o comportamento de cada uma delas estava de acordo com o que lhe foi proposto.","1","Uma vez que a classe DB_Helpers apresenta métodos com nomenclaturas específicas de outro domínio que não tem a ver com comportamentos de um banco da dados.","2","a classe RelationSpouse assume comportamentos não relacionada ao relacionamento entre marido e mulher, como por exemplo a responsabilidade de gerar um arquivo.","2","5","3","4","24","3","1"
"3","O método DB_InsertUpdate.update é praticamente replicado e pode ser refatorado. O mesmo ocorre com o método DB_Backend.connect_DB.  Por essa análise superficial, considerando que cada classe tem um método repetido, julgo terem o mesmo nível de coesão.","1","A classe DB_Helpers é muito dependente de elementos da interface gráfica (Swing). Além de controlar o BD, ela insere elementos em listas e combos da interface Java. Isso implica em baixa coesão da classe.","2","A classe RelationSpouse usa elementos da interface gráfica do Java, o que não deveria ocorrer para se alcançar uma alta coesão. O mais adequado seria lançar exceções e os componentes da interface gráfica fazerem o tratamento das mensagens.","2","9","4","4","12","5","1"
"1","The first class provices a single type of service: database connection management. For this reason, it becomes difficult to split methods that open a new connection and close existing connections into different classes.    The second class, in turn, is less cohesive as it aggregates services that could be split into different classes without creating redundant code across the classes.","1","The first class is solely related to configuration management (retrieving options from a config file, and saving back any changes).    The second class seems a real mess: although the name of the class is DB_Helpers, most of the services in it do not seem to me mere helpers; for example, there are methods for checking if rooms can be deleted which are more related to the business rules of the system (rooms cannot be deleted if they are booked), than to the manipulation that should be done in the DB in order to get the work done.","2","The first class includes a method that does not have any relationship with the information the class must maintain in the system: printToFile.","4","8","4","4","11","3","1"
"3","A primeira só cuida da conexão com o banco. A segunda só faz as ações relacionadas a persistência, sem se preocupar com a conexão com o banco.","1","DB_Helpers possui métodos relacionados a outras coisas além de prover métodos diversos de acesso ao banco de dados.","2","RelationSpouse tem outras coisas além da relação marido e mulher como o método de imprimir.","3","9","4","5","5","5","1"
"1","A primeira classe é mais coesa. Embora os métodos de conexão pudessem ser agregados em um só, eles executam uma mesma responsabilidade para a classe: conexão com o banco de dados. No caso da segunda classe, é possível dividi-la em duas novas: uma responsável pela inserção de novos registros no banco de dados e outra que cuide da atualização de registros já existentes.","1","O raciocínio é similar ao da questão anterior. A segunda classe acaba desempenhando muitas funções dentro de um mesmo contexto o que poderia ser dividido em novas classes ao passo que a primeira cuida de apenas uma operação.","3","No meu entendimento, as classes são similares. A única diferença é que atuam em domínios diferentes (homem-mulher e pais-filhos). Por essa razão, considero a coesão como sendo a mesma para elas.","2","9","4","4","10","6","1"
"1","Se olharmos ao propósito de casa uma das classes, então elas são igualmente coesas, pois o propósito de cada uma é bem claro e distinto. Se olharmos à estruturação das classes tendo em vista a reutilização de métodos dentro da própria classe, então a primeira classe, (DB_Backend) é mais coesa, pois na segunda classe (DB_InsertUpdate) existe bastante código repetido que poderia ser isolado em métodos reutilizáveis.","1","Segui o mesmo raciocínio que segui na questão anterior.","3","Se olharmos ao propósito de casa uma das classes, então elas são igualmente coesas, pois o propósito de cada uma é bem claro e distinto. Se olharmos à estruturação das classes tendo em vista a reutilização de métodos dentro da própria classe, então elas são igualmente coesas, pois não considero que poderia ser alcançado um nível mais alto de reutilização dos métodos dentro da própria classe.","4","6","2","3","4","2","1"
"1","A classe de DB_BackEnd, tem uma responsabilidade única, ela manipula as conexões do banco, no entanto a DB_InsertUpdate é responsável por inserir e editar registros, sendo assim, ela possui menos coesão, já que possui mais responsabilidades.","1","A classe DB_Helpers se parece com uma classe utilitária, no entanto além de oferecer métodos comuns às operações de banco, ela também possui algumas regras de negócios relacionadas às reservas e aos quartos do hotel.","2","A classe RelationParentChild é coesa pois ela só atende aos interesses da relação entre pais e filhos. A classe RelationSpouse não apresenta coesão visto que além de tratar da relação do casal ela também exibe mensagens de interface gráfica e faz output para um arquivo.","2","6","3","3","5","3","1"
"1","DB_InsertUpdate realiza duas operações (insert e update). De acordo com o conceito de coesão da página anterior, a classe DB_Backend é mais coesa pois realiza apenas a conexão com o banco de dados.","3","As duas classes não são muito coesas, pois realizam várias operações referente a diferentes conceitos.","2","RelationSpouse contém a operação de escrever em arquivo que poderia ser uma classe separada, se tornando mais coesa.","2","7","4","4","7","6","2"
"3","Both classes execute only functions regarding their own responsibilities, i.e., the DB_Backend does only handles the database connection, while the DB_InsertUpdate does only insert and update data by using the connection provided by the DB_Backend class.","3","Nenhuma das classes me pareceram suficientemente coesas por misturarem elementos de acesso ao Banco de Dados (e.g., porta, host, password), controle de reservas (e.g., invoice) e controle de quartos (e.g., numero de quartos disponíveis)","3","Ambas as classes realiza funções relativas à relação, e não à esposa ou ao filho especificamente, como pode parecer em um primeiro momento.","4","7","3","4","9","1","1"
"3","A classe DB_Backend trata apenas da conexão com o banco de dados, cria a conexão, fornece um método para retornar esta conexão, além de finalizar a conexão ao banco. A classe faz exatamente o que se propõe.    A classe DB_InsertUpdate apesar de não ser muito elegante por utilizar substrings para compor clausuras SQL (minha opinião) é também tão coesa quando a DB_Backend, faz exatamente apenas o que se propõe, insere e atualiza dados no banco.    Como fiz esta investigação? Primeiro verifico a assinatura e nomes dos métodos, tento identificar do que se trata e se estão no lugar onde deveriam, após verifico o conteúdo do método tentando identificar se o nome está de acordo com a implementação.","1","DB_Helpers possui métodos sem relação um com o outro, como método para calcular próximo ID de uma tabela e métodos para consultar informações sobre quartos por exemplo.","2","o método RelationSpouse.printToFile() poderia ser movido para outra classe especializada em tratar saída dos dados, deixando a classe RelationSpouse mais coesa.","2","9","4","4","11","6","1"
"1","According to the definitions in the previous section, I would say that the DB management class is more cohesive because it basically handles a single responsibility. In the Insert/Update class, we could split the class in two, as the elements are related to the performance of a different behaviors of the software.","1","The DB_Helpers class deals with different concerns, as it mixes generic methods to handle the database with methods to check whether a room is deletable, for instance. On the other hand, Main_Config2 is only concerned with loading, saving and managing the configuration properties.","2","I picked RelationParentChild only because RelationSpouse has an additional method for printing the relationship to a file at the end that did not need to be in the class.","4","8","4","3","15","0","1"
