Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
edu.umd.cs.findbugs.AbstractBugReporter,167,88,90,12,4,7,0.006142541845658837,13
edu.umd.cs.findbugs.AddAnnotation,0,50,83,17,1,0,0.011337278779626944,10
edu.umd.cs.findbugs.AddMessages,0,42,50,0,1,0,0.007370951762672671,7
edu.umd.cs.findbugs.AnalysisCacheToRepositoryAdapter,,,,0,7,0,0.0069094516982676065,2
edu.umd.cs.findbugs.AnalysisError,42,79,93,8,6,0,0.00850300335439582,3
edu.umd.cs.findbugs.Analyze,26,85,92,7,4,0,0.007912308430922357,4
edu.umd.cs.findbugs.AppVersion,15,69,78,32,2,1,0.00818201300188406,3
edu.umd.cs.findbugs.BugAccumulator,6,56,50,36,1,0,0.007493343289150707,15
edu.umd.cs.findbugs.BugAnnotation,15,100,,0,6,0,0.015835279482583675,3
edu.umd.cs.findbugs.BugAnnotationUtil,,,,0,1,0,4.9E-324,2
edu.umd.cs.findbugs.BugAnnotationVisitor,,,,0,8,0,0.01007486828727239,1
edu.umd.cs.findbugs.BugAnnotationWithSourceLines,6,60,50,33,3,1,0.010195268707358285,3
edu.umd.cs.findbugs.BugCategory,12,65,75,38,1,0,0.009753268636921697,3
edu.umd.cs.findbugs.BugCode,0,44,89,17,1,0,0.01221112789363161,3
edu.umd.cs.findbugs.BugCollection,666,100,,0,37,0,0.006701727290334713,24
edu.umd.cs.findbugs.BugCollectionBugReporter,13,60,60,28,4,5,0.008197340468302434,16
edu.umd.cs.findbugs.BugDesignation,3,62,68,47,1,1,0.008832936861330104,16
edu.umd.cs.findbugs.BugInstance,8437,97,94,2,3,3,0.004785208259377984,131
edu.umd.cs.findbugs.BugPattern,71,87,97,8,1,0,0.01003019580137497,14
edu.umd.cs.findbugs.BugProperty,35,88,83,7,3,1,0.010539929274362737,2
edu.umd.cs.findbugs.BugReporter,28,100,,0,8,0,0.011768992801879574,5
edu.umd.cs.findbugs.BugReporterObserver,,,,0,1,0,4.9E-324,2
edu.umd.cs.findbugs.ByteCodePatternDetector,21,86,,0,2,2,0.006888872829345781,2
edu.umd.cs.findbugs.BytecodeScanningDetector,1,33,0,33,2,2,0.01010664854545988,3
edu.umd.cs.findbugs.CallGraph,4,40,0,33,3,0,0.007405394388205724,2
edu.umd.cs.findbugs.CallGraphEdge,8,60,0,0,4,0,0.009222080564354706,1
edu.umd.cs.findbugs.CallGraphNode,0,0,0,0,1,0,0.013089566161837974,1
edu.umd.cs.findbugs.CallSite,0,36,50,60,1,0,0.009504480976777132,2
edu.umd.cs.findbugs.CategoryFilteringBugReporter,0,25,,0,1,1,0.008994141430811124,3
edu.umd.cs.findbugs.CheckBcel,,,,0,1,0,0.009892004719121515,4
edu.umd.cs.findbugs.ClassAnnotation,89,93,100,0,9,4,0.08917262422379348,9
edu.umd.cs.findbugs.ClassScreener,0,51,56,100,1,0,0.008785701018189658,4
edu.umd.cs.findbugs.ClassWarningSuppressor,0,0,0,100,1,1,0.018464528668610293,2
edu.umd.cs.findbugs.DeepSubtypeAnalysis,26,84,86,7,5,0,0.005588005311153062,8
edu.umd.cs.findbugs.DelegatingBugReporter,0,0,0,100,1,9,0.009278357048522975,4
edu.umd.cs.findbugs.Detector,,,,0,2,0,0.009629825956356568,2
edu.umd.cs.findbugs.Detector2,,,,0,3,0,0.008920533595220556,2
edu.umd.cs.findbugs.DetectorFactory,169,90,95,8,22,0,0.007411179986550409,17
edu.umd.cs.findbugs.DetectorFactoryChooser,,,,0,2,0,0.01007486828727239,2
edu.umd.cs.findbugs.DetectorFactoryCollection,107,84,88,8,1,0,0.0048109070765388826,64
edu.umd.cs.findbugs.DetectorToDetector2Adapter,0,0,0,100,1,3,0.010961939177954214,3
edu.umd.cs.findbugs.DiscoverSourceDirectories,28,77,84,11,2,5,0.007144217885254892,5
edu.umd.cs.findbugs.EmacsBugReporter,13,75,75,0,3,5,0.015673736379672083,8
edu.umd.cs.findbugs.ErrorCountingBugReporter,1,63,87,20,1,2,0.008215595077783858,4
edu.umd.cs.findbugs.ExcludingHashesBugReporter,1,33,,0,1,1,0.01291366320943401,4
edu.umd.cs.findbugs.ExitCodes,,,,,0,0,-2.0,2
edu.umd.cs.findbugs.FatalException,1,100,,,2,0,0.018302828618968384,2
edu.umd.cs.findbugs.FieldAnnotation,157,86,73,9,3,4,0.08974945427872628,10
edu.umd.cs.findbugs.FieldWarningSuppressor,0,0,,0,1,1,0.009462626964146193,3
edu.umd.cs.findbugs.FilterBugReporter,0,17,,0,1,1,0.008637768444409223,3
edu.umd.cs.findbugs.FindBugs,89,98,0,0,12,0,0.017175784458076906,39
edu.umd.cs.findbugs.FindBugs2,1038,94,94,7,6,0,0.0031540606154575987,71
edu.umd.cs.findbugs.FindBugsAnalysisFeatures,4,88,0,100,2,0,0.03706389990797206,4
edu.umd.cs.findbugs.FindBugsCommandLine,15,71,75,33,3,3,0.008671299760339637,10
edu.umd.cs.findbugs.FindBugsDisplayFeatures,0,0,0,100,1,0,0.00971566093234691,2
edu.umd.cs.findbugs.FindBugsMessageFormat,0,0,,0,1,0,0.008264688007531317,5
edu.umd.cs.findbugs.FindBugsProgress,,,,0,6,0,0.008776874144456073,3
edu.umd.cs.findbugs.Footprint,10,61,65,20,1,0,0.005496095048974531,5
edu.umd.cs.findbugs.FuzzyBugComparator,62,92,91,0,4,0,0.1165424234099566,5
edu.umd.cs.findbugs.HTMLBugReporter,2,50,50,100,1,1,0.007111847630399517,6
edu.umd.cs.findbugs.I18N,104,86,92,18,2,0,0.005932599245430958,14
edu.umd.cs.findbugs.IClassScreener,,,,0,2,0,0.01026462002071758,2
edu.umd.cs.findbugs.IFindBugsEngine,,,,0,33,0,0.007556792289367294,6
edu.umd.cs.findbugs.IFindBugsEngine2,,,,0,2,0,0.009222438446569083,3
edu.umd.cs.findbugs.InstructionScanner,,,,0,3,0,0.009068974124303185,2
edu.umd.cs.findbugs.InstructionScannerDriver,0,17,,0,1,0,0.00878247459419328,2
edu.umd.cs.findbugs.InstructionScannerGenerator,,,,0,2,0,0.013630031877938605,2
edu.umd.cs.findbugs.IntAnnotation,29,90,85,27,4,5,0.08036656484147589,5
edu.umd.cs.findbugs.InterproceduralFirstPassDetector,,,,,0,0,-2.0,2
edu.umd.cs.findbugs.JavaVersion,0,67,75,40,3,0,0.007760866071878636,3
edu.umd.cs.findbugs.JavaVersionException,1,100,,,2,0,0.013144069425743629,2
edu.umd.cs.findbugs.L10N,6,80,,0,3,0,0.005248264627286006,5
edu.umd.cs.findbugs.LaunchAppropriateUI,0,71,84,0,2,0,0.007755311911085555,9
edu.umd.cs.findbugs.LocalVariableAnnotation,91,83,81,18,6,6,0.06160747373450753,16
