Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
net.sf.freecol.FreeCol,263,93,93,8,3,0,0.07651632524813802,73
net.sf.freecol.client.ClientOptions,45,96,100,0,7,2,0.013344525396073382,61
net.sf.freecol.client.FreeColClient,921,95,97,2,10,1,0.050147113780968734,126
net.sf.freecol.client.Worker,0,42,67,67,1,0,0.011908205027094824,2
net.sf.freecol.client.control.ClientModelController,0,45,25,47,4,3,0.008730842935343314,15
net.sf.freecol.client.control.ConnectController,0,62,62,82,1,0,0.03062655989764359,77
net.sf.freecol.client.control.InGameController,0,82,81,79,1,0,0.005299018543891584,450
net.sf.freecol.client.control.InGameInputHandler,321,78,0,0,2,11,0.010500171026854988,199
net.sf.freecol.client.control.InputHandler,0,60,0,0,2,1,0.015635221951761986,9
net.sf.freecol.client.control.MapEditorController,0,63,50,67,1,0,0.017366819632675033,66
net.sf.freecol.client.control.PreGameController,0,64,50,82,1,0,0.0097602183174702,60
net.sf.freecol.client.control.PreGameInputHandler,130,82,0,33,3,7,0.010379066418153025,23
net.sf.freecol.client.gui.Canvas,6025,97,95,6,118,0,0.6898262435566643,238
net.sf.freecol.client.gui.CanvasKeyListener,0,33,22,33,2,0,0.011550344646407215,2
net.sf.freecol.client.gui.CanvasMapEditorMouseListener,1,43,22,30,3,0,0.01523164097876849,37
net.sf.freecol.client.gui.CanvasMapEditorMouseMotionListener,0,52,58,100,1,0,0.009525743149860155,0
net.sf.freecol.client.gui.CanvasMouseListener,3,39,0,30,3,0,0.014539258841051781,19
net.sf.freecol.client.gui.CanvasMouseMotionListener,0,39,42,100,1,0,0.015687769959175885,20
net.sf.freecol.client.gui.FAFile,7,58,50,0,1,0,0.021402359579195885,4
net.sf.freecol.client.gui.FreeColMenuBar,31,93,55,0,4,0,0.01032168749339002,17
net.sf.freecol.client.gui.FreeColMenuTest,22,75,50,30,2,0,0.030085317585790895,8
net.sf.freecol.client.gui.FullScreenFrame,1,50,0,100,2,0,0.014655024323896334,8
net.sf.freecol.client.gui.GUI,2863,96,96,11,3,0,0.009607061308333787,302
net.sf.freecol.client.gui.GUIMessage,0,63,100,0,2,0,0.011111111111111112,2
net.sf.freecol.client.gui.ImageLibrary,1574,97,93,5,11,0,0.13404716720828305,60
net.sf.freecol.client.gui.InGameMenuBar,36,99,,0,3,0,0.00593839762099199,25
net.sf.freecol.client.gui.MapEditorMenuBar,15,100,,0,1,0,0.004654619243282933,15
net.sf.freecol.client.gui.MessageLabel,,,,,1,0,4.9E-324,2
net.sf.freecol.client.gui.TerrainCursor,55,83,91,13,3,0,0.013923445244000295,3
net.sf.freecol.client.gui.TilePopup,0,67,0,0,1,0,0.016941843779880773,98
net.sf.freecol.client.gui.ViewMode,0,56,62,100,1,0,0.012509585767338216,9
net.sf.freecol.client.gui.WindowedFrame,0,33,0,100,1,0,0.01891614712060234,8
net.sf.freecol.client.gui.WindowedFrameListener,26,75,,0,7,0,0.017429352084505738,5
net.sf.freecol.client.gui.action.AboutAction,3,83,,0,3,0,0.012146973078268645,11
net.sf.freecol.client.gui.action.ActionManager,8,80,,0,3,0,0.011960353997508123,43
net.sf.freecol.client.gui.action.AssignTradeRouteAction,6,88,,0,4,1,0.014882250380485785,12
net.sf.freecol.client.gui.action.BuildColonyAction,6,88,,0,4,1,0.011990392655981381,13
net.sf.freecol.client.gui.action.ChangeAction,10,90,,0,5,2,0.010973081901518774,15
net.sf.freecol.client.gui.action.ChangeWindowedModeAction,6,88,,0,4,1,0.012139341633074317,9
net.sf.freecol.client.gui.action.ChatAction,6,88,,0,4,1,0.019177773061755696,13
net.sf.freecol.client.gui.action.ClearOrdersAction,6,88,,0,4,1,0.010067114093959731,12
net.sf.freecol.client.gui.action.ColopediaBuildingAction,6,88,,0,4,1,0.021020931896789795,2
net.sf.freecol.client.gui.action.ColopediaFatherAction,6,88,,0,4,1,0.030271647799212216,2
net.sf.freecol.client.gui.action.ColopediaGoodsAction,6,88,,0,4,1,0.02510196530266634,2
net.sf.freecol.client.gui.action.ColopediaNationAction,6,88,,0,4,1,0.01879622237327044,2
