Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
org.jfree.chart.ChartColor,1,50,,0,2,0,0.012212382422884336,6
org.jfree.chart.ChartFactory,,,,0,34,0,0.007245269033004185,18
org.jfree.chart.ChartFrame,1,33,,0,2,0,0.013227548798195066,4
org.jfree.chart.ChartMouseEvent,0,63,100,0,1,0,0.013510726905438399,4
org.jfree.chart.ChartMouseListener,,,,0,2,0,0.010644677661169416,4
org.jfree.chart.ChartPanel,3668,96,96,11,3,0,0.005785476967944441,46
org.jfree.chart.ChartRenderingInfo,0,63,55,68,2,0,0.01614494648594572,5
org.jfree.chart.ChartUtilities,,,,0,21,0,0.006425037995832756,9
org.jfree.chart.ClipPath,162,80,90,13,2,0,0.009467658043750594,5
org.jfree.chart.DrawableLegendItem,112,87,91,9,5,0,0.01104365874869151,4
org.jfree.chart.Effect3D,,,,0,2,0,0.01347248576850095,4
org.jfree.chart.HashUtilities,,,,0,2,0,0.014978167622766622,8
org.jfree.chart.JFreeChart,1897,93,91,8,5,1,0.005295711433802517,29
org.jfree.chart.LegendItem,503,89,93,7,3,0,0.007744164900624217,14
org.jfree.chart.LegendItemCollection,0,56,0,71,2,0,0.02533609495249349,7
org.jfree.chart.LegendItemSource,,,,0,1,0,4.9E-324,4
org.jfree.chart.LegendRenderingOrder,0,69,83,100,1,0,0.013529562967608516,5
org.jfree.chart.PaintMap,0,11,0,67,2,0,0.015107093085281974,7
org.jfree.chart.PolarChartPanel,19,71,0,0,3,0,0.009619296637744832,6
org.jfree.chart.StrokeMap,0,11,0,67,2,0,0.017242079807197608,7
org.jfree.chart.annotations.AbstractXYAnnotation,2,44,40,52,2,2,0.008333333333333333,6
org.jfree.chart.annotations.CategoryAnnotation,,,,0,1,0,4.9E-324,6
org.jfree.chart.annotations.CategoryLineAnnotation,17,65,70,38,2,3,0.010756978405223138,9
org.jfree.chart.annotations.CategoryPointerAnnotation,63,82,77,31,2,5,0.013990991663724004,8
org.jfree.chart.annotations.CategoryTextAnnotation,0,59,50,53,2,4,0.014390122208350576,8
org.jfree.chart.annotations.TextAnnotation,24,82,77,34,1,2,0.012398466901357662,8
org.jfree.chart.annotations.XYAnnotation,,,,0,1,0,4.9E-324,6
org.jfree.chart.annotations.XYBoxAnnotation,10,57,39,50,2,6,0.021445991149912635,6
org.jfree.chart.annotations.XYDrawableAnnotation,0,37,10,50,2,4,0.0220544912462898,9
org.jfree.chart.annotations.XYImageAnnotation,28,72,62,43,4,6,0.025429299026231738,7
org.jfree.chart.annotations.XYLineAnnotation,2,54,41,50,2,6,0.01764386295407016,7
org.jfree.chart.annotations.XYPointerAnnotation,63,82,77,31,2,5,0.014844631371359237,12
org.jfree.chart.annotations.XYPolygonAnnotation,4,60,43,54,2,6,0.023133558607461444,6
org.jfree.chart.annotations.XYShapeAnnotation,6,47,0,50,2,6,0.022749207626392993,6
org.jfree.chart.annotations.XYTextAnnotation,99,85,82,25,2,6,0.021209666853851127,10
org.jfree.chart.axis.Axis,1228,94,94,5,5,6,0.006360991598359039,23
org.jfree.chart.axis.AxisCollection,0,50,75,40,1,0,0.011909713882202678,4
org.jfree.chart.axis.AxisLocation,7,69,66,17,3,0,0.011283869426634062,7
org.jfree.chart.axis.AxisSpace,0,49,37,73,2,0,0.05468202842844523,5
org.jfree.chart.axis.AxisState,28,69,74,31,3,0,0.012470855380285946,4
org.jfree.chart.axis.CategoryAnchor,0,70,87,100,1,0,0.015104912204126481,5
org.jfree.chart.axis.CategoryAxis,881,91,88,10,5,8,0.009881031077234283,22
org.jfree.chart.axis.CategoryAxis3D,10,100,,0,5,3,0.018292414215579273,6
org.jfree.chart.axis.CategoryLabelPosition,30,75,78,36,2,0,0.012186199010852664,5
org.jfree.chart.axis.CategoryLabelPositions,35,82,0,8,1,0,0.014591529143908589,6
org.jfree.chart.axis.CategoryLabelWidthType,0,69,83,100,1,0,0.011306763253490486,6
org.jfree.chart.axis.CategoryTick,0,33,50,70,1,1,0.009504685408299867,5
org.jfree.chart.axis.ColorBar,0,79,75,67,1,0,0.013356583547591427,5
org.jfree.chart.axis.CompassFormat,10,96,,0,3,0,0.011507293354943276,7
org.jfree.chart.axis.CyclicNumberAxis,337,87,84,28,3,11,0.04434578242701459,10
org.jfree.chart.axis.DateAxis,944,93,77,6,6,17,0.007962287863818331,24
org.jfree.chart.axis.DateTick,0,0,0,100,1,1,0.012617439055672534,8
org.jfree.chart.axis.DateTickMarkPosition,0,70,87,100,1,0,0.011555287705549198,5
org.jfree.chart.axis.DateTickUnit,69,84,87,40,1,3,0.011411131226383769,12
org.jfree.chart.axis.ExtendedCategoryAxis,0,48,59,43,1,5,0.012553296732054992,6
