Component, LCOM2, LCOM3, LCOM5, TCC, LCOM4, LCbC_XScan, MWE, CC
javax.annotation.Generated,,,,0,3,0,0.019147795997534287,4
javax.annotation.PostConstruct,,,,,0,0,-2.0,4
javax.annotation.PreDestroy,,,,,0,0,-2.0,4
javax.annotation.Resource,,,,0,6,0,0.022012756520757553,7
javax.annotation.Resources,,,,0,1,0,4.9E-324,3
javax.annotation.security.DeclareRoles,,,,0,1,0,4.9E-324,3
javax.annotation.security.DenyAll,,,,,0,0,-2.0,5
javax.annotation.security.PermitAll,,,,,0,0,-2.0,4
javax.annotation.security.RolesAllowed,,,,0,1,0,4.9E-324,3
javax.annotation.security.RunAs,,,,0,1,0,4.9E-324,3
javax.ejb.EJB,,,,0,5,0,0.016639236408764305,3
javax.ejb.EJBs,,,,0,1,0,4.9E-324,2
javax.el.ArrayELResolver,33,60,0,7,3,2,0.008754863813229569,11
javax.el.BeanELResolver,33,75,75,7,4,1,0.04567497981494768,28
javax.el.CompositeELResolver,0,0,0,100,1,1,0.00820834300838843,11
javax.el.ELContext,35,77,80,8,6,0,0.045628396604026955,13
javax.el.ELContextEvent,,,,0,2,0,0.009527170077628792,2
javax.el.ELContextListener,,,,0,1,0,4.9E-324,2
javax.el.ELException,,,,,4,1,0.009966777408637873,3
javax.el.ELResolver,21,100,,0,7,0,0.00854700854700855,9
javax.el.Expression,,,,0,4,0,0.010154193305754042,3
javax.el.ExpressionFactory,,,,0,4,0,0.010250569476082005,16
javax.el.FunctionMapper,,,,0,1,0,4.9E-324,3
javax.el.ListELResolver,24,72,50,7,3,2,0.00786255096097845,12
javax.el.MapELResolver,16,69,50,7,5,1,0.06104331461445247,12
javax.el.MethodExpression,,,,0,2,0,0.010154193305754042,4
javax.el.MethodInfo,0,50,100,0,1,0,0.009698275862068966,3
javax.el.MethodNotFoundException,,,,,4,1,0.009875640087783466,3
javax.el.PropertyNotFoundException,,,,,4,0,0.009875640087783466,4
javax.el.PropertyNotWritableException,,,,,4,0,0.009875640087783466,3
javax.el.ResourceBundleELResolver,,,,0,7,1,0.00809838032393521,13
javax.el.ValueExpression,,,,0,5,0,0.010154193305754044,5
javax.el.VariableMapper,,,,0,2,0,0.010250569476082005,2
javax.mail.Authenticator,,,,,0,0,-2.0,3
javax.mail.PasswordAuthentication,,,,,1,0,4.9E-324,2
javax.mail.Session,,,,0,2,0,0.010250569476082005,2
javax.mail.internet.InternetAddress,,,,,1,0,4.9E-324,2
javax.mail.internet.MimeMessage,,,,0,3,0,0.009875640087783464,3
javax.mail.internet.MimePart,,,,,0,0,-2.0,2
javax.mail.internet.MimePartDataSource,,,,,1,0,4.9E-324,2
javax.persistence.PersistenceContext,,,,0,4,0,0.02073538393999456,2
javax.persistence.PersistenceContexts,,,,0,1,0,4.9E-324,2
javax.persistence.PersistenceProperty,,,,0,2,0,0.008733685806108357,2
javax.persistence.PersistenceUnit,,,,0,2,0,0.012541717651469275,2
javax.persistence.PersistenceUnits,,,,0,1,0,4.9E-324,3
javax.servlet.Filter,,,,0,3,0,0.01005961251862891,3
javax.servlet.FilterChain,,,,0,1,0,4.9E-324,3
javax.servlet.FilterConfig,,,,0,4,0,0.009966777408637873,5
javax.servlet.GenericServlet,72,77,0,5,5,3,0.008479899497487436,7
javax.servlet.RequestDispatcher,,,,0,2,0,0.008284749923289352,7
javax.servlet.Servlet,,,,0,5,0,0.009281540048126506,4
javax.servlet.ServletConfig,,,,0,4,0,0.010059612518628911,3
javax.servlet.ServletContext,,,,0,25,0,0.008159564823209432,16
javax.servlet.ServletContextAttributeEvent,0,33,100,0,1,0,0.009048257372654153,5
javax.servlet.ServletContextAttributeListener,,,,0,3,0,0.009048257372654153,3
javax.servlet.ServletContextEvent,,,,0,2,0,0.009443861490031479,4
javax.servlet.ServletContextListener,,,,0,2,0,0.00920245398773006,3
javax.servlet.ServletException,,,,0,5,0,0.010154193305754044,6
javax.servlet.ServletInputStream,,,,0,2,0,0.008547008547008546,15
javax.servlet.ServletOutputStream,118,94,0,1,2,0,0.006974600842070582,16
javax.servlet.ServletRequest,,,,0,29,0,0.010769307452614488,13
javax.servlet.ServletRequestAttributeEvent,0,33,100,0,1,0,0.009048257372654153,5
javax.servlet.ServletRequestAttributeListener,,,,0,3,0,0.009443861490031477,1
javax.servlet.ServletRequestEvent,1,33,,0,2,0,0.009124704291990535,6
javax.servlet.ServletRequestListener,,,,0,2,0,0.009527170077628792,1
javax.servlet.ServletRequestWrapper,0,0,0,100,1,1,0.009684362789282601,9
javax.servlet.ServletResponse,,,,0,15,0,0.00792021120563215,8
javax.servlet.ServletResponseWrapper,0,0,0,100,1,1,0.008413836086008106,10
javax.servlet.SingleThreadModel,,,,,0,0,-2.0,5
javax.servlet.UnavailableException,0,43,83,33,1,0,0.009611961552153792,7
javax.servlet.http.Cookie,133,90,94,6,8,0,0.007117332105142425,15
javax.servlet.http.HttpServlet,56,85,81,0,2,2,0.0066480848563206085,20
javax.servlet.http.HttpServletRequest,300,100,,0,25,0,0.00822168087697929,16
javax.servlet.http.HttpServletRequestWrapper,,,,0,2,0,0.008221680876979297,14
javax.servlet.http.HttpServletResponse,136,100,,0,17,0,0.004401695467883925,6
javax.servlet.http.HttpServletResponseWrapper,,,,0,2,9,0.00809838032393521,7
javax.servlet.http.HttpSession,,,,0,17,0,0.008159564823209427,7
javax.servlet.http.HttpSessionActivationListener,,,,0,2,0,0.009361997226074895,2
javax.servlet.http.HttpSessionAttributeListener,,,,0,3,0,0.009361997226074894,3
javax.servlet.http.HttpSessionBindingEvent,2,50,100,0,2,0,0.007805724197745015,7
javax.servlet.http.HttpSessionBindingListener,,,,0,2,0,0.008413836086008103,5
javax.servlet.http.HttpSessionContext,,,,0,2,0,0.008826413860738803,5
javax.servlet.http.HttpSessionEvent,,,,0,2,0,0.009698275862068966,4
javax.servlet.http.HttpSessionListener,,,,0,2,0,0.009124704291990537,3
javax.servlet.http.HttpUtils,10,90,,0,3,0,0.007820766706071717,6
javax.servlet.jsp.ErrorData,2,60,100,0,1,0,0.00889914304548451,4
javax.servlet.jsp.HttpJspPage,,,,0,1,0,4.9E-324,3
javax.servlet.jsp.JspApplicationContext,,,,0,3,0,0.00875486381322957,3
javax.servlet.jsp.JspContext,,,,0,16,0,0.0084232151436072,4
javax.servlet.jsp.JspEngineInfo,,,,0,2,0,0.010059612518628911,2
javax.servlet.jsp.JspException,,,,0,5,0,0.010059612518628913,4
javax.servlet.jsp.JspFactory,19,71,0,0,6,0,0.008038106579339092,4
javax.servlet.jsp.JspPage,,,,0,2,0,0.009875640087783466,3
javax.servlet.jsp.JspTagException,,,,,4,0,0.009786154403769481,4
javax.servlet.jsp.JspWriter,374,97,100,0,24,0,0.008159564823209429,4
javax.servlet.jsp.PageContext,136,100,,0,16,0,0.006298235707894886,9
javax.servlet.jsp.SkipPageException,,,,,4,0,0.007978723404255319,4
javax.servlet.jsp.el.ELException,4,40,,0,5,0,0.009361997226074897,4
javax.servlet.jsp.el.ELParseException,,,,,2,0,0.009443861490031479,3
javax.servlet.jsp.el.Expression,,,,0,1,0,4.9E-324,3
javax.servlet.jsp.el.ExpressionEvaluator,,,,0,2,0,0.009443861490031479,5
javax.servlet.jsp.el.FunctionMapper,,,,0,1,0,4.9E-324,3
javax.servlet.jsp.el.ImplicitObjectELResolver,1,81,91,67,3,1,0.04006830416736586,8
javax.servlet.jsp.el.ScopedAttributeELResolver,,,,0,8,1,0.0070241863978243455,6
javax.servlet.jsp.el.VariableResolver,,,,0,1,0,4.9E-324,4
javax.servlet.jsp.tagext.BodyContent,19,71,,0,6,1,0.008442760815351492,6
javax.servlet.jsp.tagext.BodyTag,1,100,,0,2,0,0.008826413860738803,5
javax.servlet.jsp.tagext.BodyTagSupport,24,56,0,21,6,2,0.008159564823209427,5
javax.servlet.jsp.tagext.DynamicAttributes,,,,0,1,0,4.9E-324,2
javax.servlet.jsp.tagext.FunctionInfo,0,50,100,0,1,0,0.009527170077628792,4
javax.servlet.jsp.tagext.IterationTag,,100,,0,1,0,4.9E-324,4
javax.servlet.jsp.tagext.JspFragment,,,,0,2,0,0.009281540048126504,3
javax.servlet.jsp.tagext.JspIdConsumer,,,,0,1,0,4.9E-324,1
javax.servlet.jsp.tagext.JspTag,,,,,0,0,-2.0,2
javax.servlet.jsp.tagext.PageData,,,,0,2,0,0.009698275862068966,3
javax.servlet.jsp.tagext.SimpleTag,,,,0,5,0,0.00897308075772682,2
javax.servlet.jsp.tagext.SimpleTagSupport,30,78,80,7,6,0,0.007429829389102917,4
javax.servlet.jsp.tagext.Tag,15,100,,0,6,0,0.008973080757726817,4
javax.servlet.jsp.tagext.TagAdapter,22,79,67,5,6,1,0.009506347989824688,5
javax.servlet.jsp.tagext.TagAttributeInfo,61,82,92,14,1,0,0.008280539789371317,3
javax.servlet.jsp.tagext.TagData,0,57,0,60,1,0,0.009124704291990537,4
javax.servlet.jsp.tagext.TagExtraInfo,13,75,75,10,4,0,0.008973080757726817,3
javax.servlet.jsp.tagext.TagFileInfo,0,50,100,0,1,0,0.009281540048126504,3
javax.servlet.jsp.tagext.TagInfo,108,86,98,1,1,0,0.006229810798338717,3
javax.servlet.jsp.tagext.TagLibraryInfo,85,91,98,1,7,0,0.007429829389102916,8
javax.servlet.jsp.tagext.TagLibraryValidator,4,40,0,50,3,0,0.014155551107172785,3
javax.servlet.jsp.tagext.TagSupport,73,80,77,18,9,1,0.008035795966140001,8
javax.servlet.jsp.tagext.TagVariableInfo,5,67,100,0,1,0,0.009048257372654153,4
javax.servlet.jsp.tagext.TryCatchFinally,,,,0,2,0,0.010250569476082005,2
javax.servlet.jsp.tagext.ValidationMessage,0,33,100,0,2,0,0.009875640087783464,4
javax.servlet.jsp.tagext.VariableInfo,2,77,100,0,1,0,0.009202453987730062,4
javax.xml.ws.WebServiceRef,,,,0,5,0,0.019190474858913113,3
javax.xml.ws.WebServiceRefs,,,,0,1,0,4.9E-324,2
org.apache.AnnotationProcessor,,,,0,3,0,0.009281540048126502,0
org.apache.PeriodicEventListener,,,,0,1,0,4.9E-324,0
org.apache.catalina.Authenticator,,,,,0,0,-2.0,8
org.apache.catalina.Cluster,,,,0,11,0,0.010348792640858568,7
org.apache.catalina.CometEvent,,,,0,6,0,0.007182761372705506,0
org.apache.catalina.CometFilter,,,,0,1,0,4.9E-324,0
org.apache.catalina.CometFilterChain,,,,0,1,0,4.9E-324,0
org.apache.catalina.CometProcessor,,,,0,1,0,4.9E-324,0
org.apache.catalina.Contained,,,,0,2,0,0.010348792640858567,4
org.apache.catalina.Container,561,100,,0,34,0,0.006863243518047793,22
org.apache.catalina.ContainerEvent,4,60,100,0,1,0,0.009124704291990538,8
org.apache.catalina.ContainerListener,,,,0,1,0,4.9E-324,5
org.apache.catalina.ContainerServlet,,,,0,2,0,0.010154193305754042,4
org.apache.catalina.Context,7750,100,,0,125,0,0.007852836405498788,67
org.apache.catalina.Engine,,,,0,6,0,0.010250569476082005,4
org.apache.catalina.Executor,,,,0,1,0,4.9E-324,4
org.apache.catalina.Globals,,,,,0,0,-2.0,33
org.apache.catalina.Group,,,,0,11,0,0.00944386149003148,4
org.apache.catalina.Host,153,100,,0,18,0,0.00969827586206897,16
org.apache.catalina.InstanceEvent,0,80,100,0,2,0,0.006123837604899071,8
org.apache.catalina.InstanceListener,,,,0,1,0,4.9E-324,4
org.apache.catalina.Lifecycle,10,100,,0,5,0,0.008547008547008548,17
org.apache.catalina.LifecycleEvent,4,60,100,0,1,0,0.009124704291990538,8
org.apache.catalina.LifecycleException,11,57,50,67,2,0,0.00978615440376948,6
org.apache.catalina.LifecycleListener,,,,0,1,0,4.9E-324,6
org.apache.catalina.Loader,,,,0,14,0,0.009875640087783466,8
org.apache.catalina.Manager,,,,0,35,0,0.009527170077628789,12
org.apache.catalina.Pipeline,,,,0,6,0,0.010348792640858567,4
org.apache.catalina.Realm,,,,0,14,0,0.008440254899158351,11
org.apache.catalina.Role,,,,0,5,0,0.010059612518628913,4
org.apache.catalina.Server,,,,0,13,0,0.00969827586206897,13
org.apache.catalina.ServerFactory,0,0,0,100,1,0,0.009361997226074895,0
org.apache.catalina.Service,,,,0,15,0,0.009875640087783466,11
org.apache.catalina.Session,435,100,,0,30,0,0.008547008547008543,11
org.apache.catalina.SessionEvent,4,60,100,0,1,0,0.009124704291990538,6
org.apache.catalina.SessionListener,,,,0,1,0,4.9E-324,6
org.apache.catalina.Store,,,,0,11,0,0.009527170077628792,5
org.apache.catalina.User,,,,0,17,0,0.009443861490031479,4
org.apache.catalina.UserDatabase,,,,0,16,0,0.009611961552153794,4
org.apache.catalina.Valve,,,,0,6,0,0.00875486381322957,5
org.apache.catalina.Wrapper,,,,0,32,0,0.00912470429199053,9
org.apache.catalina.ant.AbstractCatalinaTask,21,73,77,31,2,1,0.00663016015779795,20
org.apache.catalina.ant.BaseRedirectorHelperTask,18,78,80,53,2,0,0.005182463721728237,8
org.apache.catalina.ant.DeployTask,42,77,83,23,1,1,0.006969872897342034,5
org.apache.catalina.ant.InstallTask,3,57,66,43,1,1,0.008684464458025091,0
org.apache.catalina.ant.JKStatusUpdateTask,315,88,90,4,3,1,0.006191457038752191,3
org.apache.catalina.ant.JMXGetTask,0,40,50,60,1,1,0.009048257372654156,4
org.apache.catalina.ant.JMXQueryTask,0,0,0,100,1,1,0.008899143045484507,4
org.apache.catalina.ant.JMXSetTask,3,57,66,43,1,1,0.008973080757726817,4
org.apache.catalina.ant.ListTask,,,,0,1,1,4.9E-324,4
org.apache.catalina.ant.ReloadTask,0,0,0,100,1,1,0.008479899497487436,5
org.apache.catalina.ant.RemoveTask,0,0,0,100,1,1,0.008826413860738801,0
org.apache.catalina.ant.ResourcesTask,0,0,0,100,1,1,0.009124704291990535,5
org.apache.catalina.ant.RolesTask,,,,0,1,1,4.9E-324,2
org.apache.catalina.ant.ServerinfoTask,,,,0,1,1,4.9E-324,4
