Component, LCOM2, LCOM3, LCOM5, TCC, CBO, LCOM4, LOC, LCbC_MM, LCbC_XScan, MWE, CC
org.gjt.sp.jedit.Abbrevs,32,75,75,31,6,16,706,5,0,0.01355497872988993,1
org.gjt.sp.jedit.AbstractOptionPane,102,78,67,14,0,3,202,0,0,0.009426292645836089,6
org.gjt.sp.jedit.ActionContext,,,,0,0,2,8,0,0,0.01552804402797084,2
org.gjt.sp.jedit.ActionListHandler,17,70,70,33,0,2,111,1,0,0.011117201303015304,1
org.gjt.sp.jedit.ActionSet,83,77,62,17,0,9,97,1,0,0.012790183580775452,3
org.gjt.sp.jedit.Autosave,4,50,0,33,1,2,62,1,0,0.0144555429526818,2
org.gjt.sp.jedit.BeanShell,0,58,50,58,6,2,233,4,0,0.01491583918437489,7
org.gjt.sp.jedit.BeanShellAction,7,69,96,7,2,1,96,1,1,0.009486482855971819,2
org.gjt.sp.jedit.Buffer,3090,96,95,6,14,46,1509,15,0,0.03056433878855347,43
org.gjt.sp.jedit.BufferHistory,24,61,47,67,4,3,575,3,0,0.011926360558277603,6
org.gjt.sp.jedit.Debug,,,,,0,0,0,6,0,-2.0,4
org.gjt.sp.jedit.EBComponent,,,,0,0,1,1,2,0,4.9E-324,0
org.gjt.sp.jedit.EBMessage,0,20,0,33,0,1,23,0,0,0.014086000178420512,1
org.gjt.sp.jedit.EBPlugin,1,50,,0,1,2,11,1,1,0.019676085423633534,0
org.gjt.sp.jedit.EditAction,,,,0,0,12,50,5,0,0.011876632721181347,3
org.gjt.sp.jedit.EditBus,24,56,0,20,1,5,91,1,0,0.010350713284186366,9
org.gjt.sp.jedit.EditPane,146,80,79,34,17,3,907,14,6,0.012603618365755112,12
org.gjt.sp.jedit.EditPlugin,210,95,,0,0,7,156,3,0,0.02183904451665823,8
org.gjt.sp.jedit.EditServer,12,70,85,17,2,2,266,3,0,0.01785852729219779,10
org.gjt.sp.jedit.GUIUtilities,2608,98,90,0,4,38,954,12,0,0.012040010962093688,30
org.gjt.sp.jedit.IPropertyManager,,,,0,0,1,1,0,0,4.9E-324,2
org.gjt.sp.jedit.JARClassLoader,39,80,81,39,2,2,397,0,0,0.010043191893762782,3
org.gjt.sp.jedit.JEditBeanShellAction,5,71,93,13,1,1,100,1,0,0.012012306886357021,2
org.gjt.sp.jedit.JEditKillRing,0,0,0,100,3,1,82,0,0,0.008943533235670082,4
org.gjt.sp.jedit.JEditMode,,,,0,1,3,54,1,0,0.012402412577720089,4
org.gjt.sp.jedit.JEditRegisterSaver,0,0,0,100,1,1,99,1,0,0.014517326787116112,2
org.gjt.sp.jedit.JEditRegistersListener,,,,0,0,1,4,1,0,4.9E-324,1
org.gjt.sp.jedit.Macros,262,90,85,4,7,9,1032,5,2,0.011533878904581775,5
org.gjt.sp.jedit.Marker,0,54,70,0,1,1,35,1,0,0.013445829105164927,5
org.gjt.sp.jedit.MiscUtilities,2346,99,100,0,2,49,931,2,0,0.05334944329133926,47
